"Linear static analysis of 15ft Groovik's Cube (kips,in)",,,,,,,,,,,,
,,,,,,,,,,,,
# Joint data ?,,,,,,,,,,,,
66,# number of joints,,,,,,,,,,,
#joint,x,y,z,r,units: inches,,,,,,,
34,29,30,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
35,30,31,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
36,31,32,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
37,17,21,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
38,18,22,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
39,19,23,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
40,20,24,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
41,21,25,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
42,22,26,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
43,23,27,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
44,24,28,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
45,25,29,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
46,26,30,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
47,27,31,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
48,28,32,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
49,33,34,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
50,34,35,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
51,35,36,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
52,37,38,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
53,38,39,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
54,39,40,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
55,41,42,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
56,42,43,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
57,43,44,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
58,45,46,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
59,46,47,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
60,47,48,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
61,33,37,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
62,34,38,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
63,35,39,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
64,36,40,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
